Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
Richmond,3,h,SP,BarryPlant,Southern Metro,1545,9.33,Melbourne,4,2,2,531.79,81.52,835178.4268
Burwood,3,u,VB,RayWhite,Western Metro,2927,10.5,Monash,3,1,1,771.16,406.03,1106178.475
Docklands,5,u,PI,JellisCraig,Northern Metro,5152,4.35,Yarra,2,1,1,284.74,320.83,967814.7845
Clayton,5,h,VB,BarryPlant,Western Metro,1004,12.27,Melbourne,4,2,0,363.62,307.85,1097461.21
Richmond,1,t,PI,BarryPlant,Southern Metro,6533,2.08,Monash,5,1,3,411.5,256.27,879622.2611
Carlton,4,t,PI,JellisCraig,Southern Metro,6378,27.61,Boroondara,4,3,1,772.05,174.67,1134787.91
Docklands,1,t,SP,JellisCraig,Western Metro,7233,20.52,Yarra,4,1,2,862.23,258.83,910548.5366
Richmond,5,h,S,BarryPlant,Southern Metro,3663,29.73,Melbourne,5,1,0,438.75,252.51,1165364.004
Carlton,2,u,PI,JellisCraig,Northern Metro,4326,26.6,Boroondara,4,2,2,366.96,312.69,933011.5822
Richmond,5,h,PI,BigginScott,Western Metro,4659,14.72,Melbourne,5,2,0,900.5,176.71,1197421.038
Burwood,4,u,SP,JellisCraig,Northern Metro,2131,16.07,Monash,5,3,0,999.43,84.92,1202813.656
Richmond,5,t,PI,JellisCraig,Western Metro,5763,6.53,Monash,5,1,1,703.32,115.29,981749.031
Richmond,4,t,S,JellisCraig,Southern Metro,7737,14.4,Boroondara,2,3,1,990.98,364.63,1284483.556
Richmond,4,u,SP,BarryPlant,Western Metro,6092,27.19,Melbourne,3,3,1,693.97,60.12,901428.8783
Docklands,4,u,S,BigginScott,Western Metro,7022,2.47,Yarra,2,2,3,760.11,435.4,1278066.956
Richmond,4,h,S,RayWhite,Northern Metro,4159,26.04,Yarra,5,1,3,449.79,362.48,1216015.247
Carlton,4,t,SP,RayWhite,Southern Metro,7159,10.89,Boroondara,3,2,2,489.67,395.64,1203920.537
Burwood,2,h,PI,BigginScott,Northern Metro,8318,27.09,Boroondara,3,3,1,229.72,426.19,1056417.954
Burwood,1,h,S,BigginScott,Southern Metro,9445,28.29,Boroondara,5,3,3,840.48,105.22,914737.6337
Richmond,3,h,S,BigginScott,Northern Metro,6307,20.46,Melbourne,3,2,1,937.95,420.1,1221973.936
Docklands,1,t,S,BarryPlant,Western Metro,9520,20.27,Yarra,3,2,3,661.09,277.09,911747.1107
Docklands,4,h,S,RayWhite,Northern Metro,4044,14.13,Yarra,2,2,3,409.28,448.49,1215649.085
Carlton,2,h,SP,BigginScott,Southern Metro,6636,25.23,Yarra,3,2,0,238.61,448.96,885527.8091
Richmond,5,h,SP,BarryPlant,Southern Metro,3892,28.89,Boroondara,5,2,1,338.64,60.88,968178.0587
Burwood,2,h,VB,RayWhite,Western Metro,6288,23.48,Yarra,1,3,1,329.87,222.29,711488.7837
Docklands,4,h,VB,JellisCraig,Southern Metro,6812,19.04,Monash,1,2,3,652.18,286.88,1036891.629
Richmond,2,h,S,BarryPlant,Northern Metro,1654,18.6,Boroondara,1,1,1,950.53,355.26,912584.5673
Docklands,2,t,PI,RayWhite,Western Metro,6481,25.63,Yarra,5,3,3,143.44,178.78,835674.6697
Docklands,4,h,S,BarryPlant,Southern Metro,1759,16.69,Melbourne,1,3,1,100.92,163.46,712809.8369
Burwood,2,u,PI,RayWhite,Southern Metro,7782,24.31,Boroondara,2,1,0,640.16,221.57,726066.7993
Clayton,3,h,S,RayWhite,Northern Metro,2798,15.76,Monash,5,1,1,355.65,275.42,970035.2896
Carlton,3,h,VB,JellisCraig,Northern Metro,6159,2.81,Monash,5,3,0,892.49,478.02,1385616.61
Carlton,2,t,VB,BarryPlant,Western Metro,9446,12.13,Melbourne,5,2,2,394.53,392.95,1140799.598
Burwood,5,t,PI,BigginScott,Southern Metro,6262,13.89,Melbourne,3,3,1,360.76,243.19,1224340.517
Docklands,4,u,S,JellisCraig,Northern Metro,4823,5.11,Boroondara,3,3,1,342.56,74.46,867884.256
Richmond,3,u,PI,JellisCraig,Western Metro,2876,3.97,Boroondara,3,1,1,230.37,125.83,662879.2238
Docklands,5,t,VB,RayWhite,Southern Metro,7154,16.53,Monash,4,3,0,623.38,255.17,1176570.863
Burwood,2,t,S,BigginScott,Southern Metro,8787,3.47,Melbourne,2,2,1,251.39,416.22,910139.9044
Carlton,5,h,S,BarryPlant,Western Metro,5516,9.79,Boroondara,5,1,1,482.17,221.31,1169819.787
Docklands,1,t,PI,BigginScott,Western Metro,4734,22.59,Monash,5,3,3,514.87,292.32,1114204.971
Carlton,3,u,SP,BigginScott,Northern Metro,6972,28.97,Melbourne,3,3,2,118.44,451.31,1166649.79
Richmond,2,h,PI,BigginScott,Southern Metro,7639,21.82,Monash,5,2,0,115.13,461.21,1067914.481
Carlton,4,u,VB,BigginScott,Southern Metro,6356,29.79,Yarra,5,3,3,568.19,147.1,1148066.669
Carlton,2,h,VB,BigginScott,Southern Metro,7380,21.25,Melbourne,1,3,0,726.43,69.62,625115.5985
Clayton,4,t,VB,RayWhite,Western Metro,2008,9.52,Boroondara,5,3,3,947.93,187.43,1276822.923
Clayton,2,u,VB,RayWhite,Northern Metro,5314,20.49,Boroondara,4,3,2,261.21,363.11,1010679.093
Clayton,5,h,VB,JellisCraig,Southern Metro,3508,21.36,Yarra,3,2,3,192.93,478,1261218.798
Carlton,5,h,SP,RayWhite,Western Metro,5758,11.78,Melbourne,2,3,0,146.88,84.66,772753.3894
Burwood,5,t,S,JellisCraig,Southern Metro,3682,1.51,Monash,2,3,1,492.44,62.82,948445.0984
Carlton,1,t,PI,JellisCraig,Northern Metro,8311,21.39,Boroondara,1,3,1,660.83,447.87,962425.7603
Burwood,4,t,PI,BarryPlant,Southern Metro,1989,1.63,Yarra,2,1,2,856.5,386.67,1145868.48
Burwood,5,u,VB,BigginScott,Northern Metro,9446,19.3,Yarra,2,2,0,714.38,496.51,1295022.669
Clayton,1,h,PI,RayWhite,Northern Metro,5711,5.74,Melbourne,3,1,0,287.52,228.56,616430.9994
Docklands,4,t,VB,BarryPlant,Southern Metro,7479,17.4,Melbourne,3,1,0,515.59,237.22,996735.7263
Richmond,2,u,SP,RayWhite,Southern Metro,7964,15.61,Boroondara,4,2,2,919.31,127.54,922822.5852
Clayton,1,u,SP,JellisCraig,Northern Metro,9075,1.39,Yarra,1,1,1,394.07,102.13,444438.0274
Clayton,3,u,S,RayWhite,Western Metro,5452,11.52,Monash,2,1,3,548.86,310.42,1031841.028
Docklands,1,t,SP,BigginScott,Northern Metro,9447,18.43,Yarra,4,1,2,962.71,213.93,942915.127
Richmond,1,t,SP,JellisCraig,Southern Metro,2007,25.61,Monash,1,2,3,761.24,86.14,653899.2409
Carlton,4,h,S,JellisCraig,Southern Metro,7496,26.77,Monash,2,3,1,772.97,449.14,1328315.888
Carlton,2,h,PI,BarryPlant,Western Metro,8688,15.03,Boroondara,2,2,2,327.1,139.26,627236.7046
Clayton,3,t,VB,BigginScott,Northern Metro,4908,22.12,Yarra,3,2,1,473.23,386.86,1023785.528
Richmond,5,u,VB,JellisCraig,Northern Metro,3803,10.18,Monash,5,2,3,174.11,177,1066303.408
Clayton,5,u,PI,BigginScott,Northern Metro,5379,10.92,Melbourne,1,1,0,645.87,415.81,1127909.705
Burwood,1,u,S,RayWhite,Southern Metro,1098,6.64,Monash,2,3,0,193.36,103.28,478799.7565
Clayton,4,h,PI,BigginScott,Northern Metro,9388,17.3,Melbourne,1,2,3,852.32,390.23,1231090.833
Clayton,4,u,SP,JellisCraig,Western Metro,1877,10.12,Melbourne,4,2,0,833.1,94.15,970215.1056
Carlton,5,h,S,BarryPlant,Southern Metro,2868,3.45,Yarra,4,3,3,580.24,251.11,1321548.037
Carlton,3,h,S,JellisCraig,Southern Metro,3665,20.87,Melbourne,5,3,2,227.05,380.3,1155644.574
Carlton,2,u,S,BigginScott,Northern Metro,2388,21.52,Monash,2,3,2,123.02,127.95,637659.9885
Burwood,3,u,VB,BigginScott,Western Metro,3415,11.44,Melbourne,3,1,2,817.04,178.55,866792.1775
Carlton,2,t,PI,JellisCraig,Southern Metro,9761,3.22,Yarra,2,3,0,640.13,439.15,1029796.013
Richmond,5,t,S,BigginScott,Southern Metro,3637,13.36,Boroondara,1,1,1,739.84,448.3,1266140.218
Docklands,2,u,S,RayWhite,Northern Metro,8242,13.83,Monash,4,2,0,373.43,70.22,675697.1873
Richmond,4,h,S,JellisCraig,Northern Metro,9613,20.39,Monash,1,1,0,558.53,125.64,742664.119
Richmond,1,h,PI,BarryPlant,Western Metro,3883,10.15,Yarra,5,3,1,772.46,102.86,944630.3478
Carlton,1,h,VB,JellisCraig,Northern Metro,2204,20.8,Yarra,4,1,1,516.31,130.86,579873.569
Docklands,5,h,SP,RayWhite,Western Metro,1544,26.27,Yarra,3,3,1,641.25,486.58,1462517.786
Docklands,4,h,VB,RayWhite,Southern Metro,2223,7.89,Yarra,4,1,1,810.76,298.24,1062073.457
Docklands,3,t,S,RayWhite,Western Metro,4172,29.39,Monash,2,2,0,293.7,260.65,786877.4029
Burwood,4,u,VB,RayWhite,Western Metro,9959,12.2,Boroondara,2,1,3,159.34,493.01,1023557.649
Carlton,1,t,VB,RayWhite,Western Metro,7450,8.75,Melbourne,4,2,2,578.64,300.63,957151.5273
Docklands,1,h,SP,BarryPlant,Southern Metro,7520,13.22,Melbourne,5,3,3,155.91,347.5,869786.6824
Burwood,4,h,PI,BigginScott,Northern Metro,1654,3.74,Boroondara,2,2,0,789.9,199.75,965215.7744
Clayton,4,h,PI,RayWhite,Southern Metro,7821,4.65,Boroondara,2,3,1,747.29,221.95,1008198.49
Clayton,1,h,VB,RayWhite,Northern Metro,3446,13.02,Boroondara,3,3,2,893.54,317.48,992801.5814
Burwood,3,u,VB,JellisCraig,Western Metro,6892,23.11,Yarra,4,2,2,675.61,81.4,849047.4418
Burwood,5,h,PI,BarryPlant,Western Metro,9412,27.11,Monash,2,2,3,160.48,165.15,959249.2269
Carlton,5,u,PI,BarryPlant,Western Metro,4666,20.28,Monash,5,1,0,327.84,138.57,930160.5275
Carlton,4,h,SP,BigginScott,Western Metro,5277,4.05,Monash,1,1,0,827.14,57.15,821658.2848
Clayton,5,u,S,BarryPlant,Western Metro,5402,20.49,Yarra,4,2,0,250.42,291.61,1183565.316
Docklands,1,t,VB,JellisCraig,Northern Metro,3569,19.43,Monash,3,2,2,728.63,302.47,1016743.193
Clayton,1,h,PI,JellisCraig,Northern Metro,6515,24.37,Yarra,2,2,3,802.23,222.77,820500.654
Docklands,4,u,VB,BigginScott,Western Metro,4985,24.93,Monash,5,2,2,397.1,170.93,1030577.857
Docklands,4,t,VB,JellisCraig,Southern Metro,9167,26.18,Boroondara,4,3,2,390.07,343.43,1219348.782
Carlton,4,h,PI,RayWhite,Southern Metro,8448,13.01,Melbourne,5,2,1,602.02,110.6,982831.6086
Richmond,3,h,SP,RayWhite,Western Metro,5310,21.24,Melbourne,5,2,3,875.16,283.38,1237146.513
Richmond,5,h,VB,JellisCraig,Northern Metro,4019,8.78,Yarra,3,2,1,301.52,395.63,1129326.19
Burwood,4,u,SP,BigginScott,Southern Metro,4681,29.98,Monash,4,2,0,947.13,123.93,954295.2119
Carlton,2,u,PI,BarryPlant,Southern Metro,5196,6.08,Melbourne,2,3,2,639.21,388.97,1096439.73
Docklands,2,t,S,BigginScott,Southern Metro,1572,1.29,Boroondara,3,1,3,992.91,392.36,1102744.335
Richmond,1,u,S,BarryPlant,Western Metro,5753,5.32,Boroondara,2,1,0,180.65,76.97,322330.4081
Docklands,5,u,VB,JellisCraig,Southern Metro,8082,23.5,Boroondara,1,1,3,213.91,58.45,650111.6849
Richmond,4,h,PI,JellisCraig,Southern Metro,5002,13.96,Yarra,5,1,2,843.98,488.27,1487220.091
Richmond,2,h,SP,RayWhite,Southern Metro,6629,13.98,Yarra,1,1,3,878.28,137.02,753709.6395
Richmond,5,h,VB,BarryPlant,Southern Metro,9417,28.7,Monash,5,3,0,500.91,419.96,1324117.641
Carlton,1,h,PI,BigginScott,Northern Metro,5200,27.67,Boroondara,3,1,1,742.66,302.83,776278.6794
Clayton,3,h,PI,JellisCraig,Western Metro,2997,10.02,Monash,2,3,2,880.8,169.01,978656.0197
Docklands,5,h,SP,BigginScott,Western Metro,9963,7.06,Monash,2,3,1,138.82,108.49,873956.4679
Carlton,5,h,VB,RayWhite,Northern Metro,8422,25.61,Boroondara,3,1,2,616.56,273.5,1068739.431
Carlton,3,t,PI,BarryPlant,Northern Metro,5524,27.27,Monash,4,1,0,868.13,233.31,985101.6663
Carlton,5,t,PI,BarryPlant,Western Metro,9625,16.71,Melbourne,1,1,2,458.34,364.5,1057729.559
Carlton,1,t,PI,JellisCraig,Southern Metro,4407,19.25,Yarra,1,2,1,372.15,456.88,845288.4205
Carlton,1,t,SP,BarryPlant,Southern Metro,7731,8.45,Monash,2,3,2,816.14,412.36,937445.1891
Burwood,3,h,VB,JellisCraig,Western Metro,8795,24.22,Boroondara,2,1,0,402.21,173.5,705245.0686
Docklands,4,t,VB,RayWhite,Southern Metro,3793,19.33,Yarra,2,2,2,102.86,445.52,969735.0179
Carlton,2,h,VB,BarryPlant,Northern Metro,8334,15.6,Yarra,3,3,1,963.62,425.03,1209796.076
Docklands,4,t,VB,JellisCraig,Southern Metro,3911,2.74,Monash,4,2,0,632.91,468.11,1272912.248
Burwood,5,u,S,BigginScott,Southern Metro,8952,27.56,Melbourne,1,2,1,837.57,256.4,1043734.355
Burwood,2,t,S,JellisCraig,Southern Metro,3415,18.85,Monash,5,1,2,842.77,395.86,1200849.36
Docklands,3,t,VB,BarryPlant,Western Metro,1250,6.59,Melbourne,3,3,3,159.77,316.25,937982.207
Richmond,3,h,SP,RayWhite,Northern Metro,5951,18.59,Yarra,1,2,1,253.77,189.73,669714.1555
Clayton,2,t,S,BarryPlant,Southern Metro,9098,20.65,Monash,4,3,2,380.01,497.49,1235429.709
Richmond,1,u,PI,BarryPlant,Western Metro,6289,16.25,Boroondara,3,1,3,388.63,67.24,506253.9797
Richmond,2,h,S,JellisCraig,Southern Metro,9102,21.82,Monash,1,3,3,692.91,123.02,742967.5005
Richmond,5,h,PI,BigginScott,Northern Metro,8257,17.86,Melbourne,3,2,0,660.82,451.64,1306478.228
Carlton,1,t,VB,BarryPlant,Southern Metro,6565,28.49,Melbourne,1,2,3,545.13,77.25,577814.126
Burwood,3,h,S,BigginScott,Northern Metro,7437,2.56,Monash,1,3,1,290.14,449.07,1098427.38
Richmond,2,h,SP,JellisCraig,Southern Metro,2173,4.08,Melbourne,4,2,1,443.79,371.85,958180.9201
Burwood,4,h,S,BigginScott,Northern Metro,9624,6.04,Yarra,5,2,3,589.23,66.51,950524.9017
Docklands,4,h,S,JellisCraig,Southern Metro,1835,21.01,Monash,4,2,2,521.19,243.19,1065730.23
Clayton,5,h,S,RayWhite,Northern Metro,3262,19.72,Melbourne,1,1,1,214.56,389.51,995385.0326
Docklands,4,h,VB,BigginScott,Southern Metro,5567,26.87,Monash,3,1,1,684.56,312.4,1029255.667
Docklands,2,u,SP,BigginScott,Southern Metro,4815,22.25,Monash,4,2,0,165.75,471.14,1035293.168
Carlton,2,t,S,RayWhite,Western Metro,1246,15.74,Boroondara,5,3,2,440.38,440.44,1156690.112
Clayton,4,u,SP,BigginScott,Western Metro,3429,29.76,Monash,1,1,3,739.03,199.69,816356.2705
Docklands,2,h,VB,RayWhite,Northern Metro,6287,8.72,Boroondara,4,3,2,118.02,88.08,730074.7641
Docklands,5,h,PI,BarryPlant,Southern Metro,3607,25.16,Melbourne,4,2,0,612.98,474.92,1411193.474
Clayton,1,t,S,JellisCraig,Northern Metro,6930,13.38,Boroondara,4,2,0,401.07,282.78,855333.5318
Clayton,5,u,SP,RayWhite,Western Metro,5022,19.81,Boroondara,4,3,2,107.95,83.48,836270.0101
Docklands,5,t,SP,BigginScott,Northern Metro,5784,22.09,Boroondara,3,1,0,271.34,417.46,1075581.247
Clayton,2,u,VB,RayWhite,Northern Metro,7617,19.38,Yarra,5,3,0,946.85,440.83,1302332.092
Docklands,1,h,S,BigginScott,Western Metro,4151,5.07,Boroondara,5,3,0,569.03,337.74,1106296.909
Docklands,2,t,PI,BarryPlant,Southern Metro,6580,13.85,Monash,1,2,2,997.5,251.38,912669.9303
Carlton,3,t,SP,RayWhite,Northern Metro,8054,17.28,Boroondara,2,1,0,572.34,347.98,852356.1656
Richmond,2,h,S,BarryPlant,Western Metro,8706,25.62,Monash,3,3,3,589.54,368.01,1109709.023
Docklands,2,t,PI,JellisCraig,Southern Metro,8619,13.87,Boroondara,1,1,3,452.66,451.86,983130.8113
Burwood,2,u,SP,BigginScott,Western Metro,5573,27.64,Yarra,1,2,1,379.04,480.14,998683.9471
Richmond,1,u,SP,BigginScott,Northern Metro,4491,13.77,Melbourne,4,1,3,326.39,281.44,807446.9082
Richmond,2,u,PI,BarryPlant,Southern Metro,1706,16.91,Boroondara,2,2,1,409.08,409.32,945175.6184
Richmond,1,u,PI,JellisCraig,Southern Metro,7997,24.09,Boroondara,2,1,2,513.87,484.03,804803.3845
Carlton,4,h,VB,RayWhite,Western Metro,6233,17.91,Yarra,3,3,0,272.79,118.06,851180.3228
Docklands,3,t,S,RayWhite,Western Metro,9945,28.85,Boroondara,2,2,3,302.39,58.22,677844.0131
Carlton,1,u,S,BigginScott,Western Metro,6755,20.15,Monash,1,3,1,344.39,441.03,866351.5163
Docklands,4,h,VB,BarryPlant,Southern Metro,7960,16.16,Boroondara,2,2,2,504.33,137.87,904523.9944
Carlton,1,t,SP,BarryPlant,Southern Metro,9779,1.68,Boroondara,2,1,1,687.53,69.12,526579.1099
Carlton,1,t,PI,RayWhite,Northern Metro,2334,13,Melbourne,5,1,0,870.53,122.04,754770.8397
Burwood,3,h,PI,JellisCraig,Southern Metro,6588,9.68,Melbourne,1,2,3,358.42,222.85,852325.8861
Carlton,5,h,PI,JellisCraig,Northern Metro,2847,22.7,Boroondara,2,2,2,265.36,148.67,867598.5643
Clayton,5,u,SP,RayWhite,Western Metro,7851,7.04,Yarra,2,2,1,440.96,187.36,962880.7036
Burwood,1,t,PI,RayWhite,Western Metro,8211,6.95,Melbourne,4,1,2,904.94,488.88,1185238.564
Carlton,2,t,PI,BarryPlant,Southern Metro,8865,6.5,Boroondara,2,2,1,108.87,366.98,749107.5624
Richmond,4,h,VB,JellisCraig,Western Metro,4317,4.64,Melbourne,2,2,1,710.08,370.49,1087554.683
Clayton,2,t,SP,RayWhite,Western Metro,7811,10.02,Boroondara,5,3,0,529.44,92.61,909339.0078
Clayton,2,u,S,RayWhite,Southern Metro,1164,26.69,Melbourne,1,2,0,244.94,379.44,753286.3998
Clayton,1,t,VB,BigginScott,Northern Metro,8060,23.47,Melbourne,3,3,1,388.92,382.7,963997.6216
Burwood,1,h,VB,RayWhite,Southern Metro,4057,22.32,Monash,1,3,3,302.46,346.89,718861.9484
Carlton,1,h,S,RayWhite,Northern Metro,5428,24.12,Boroondara,4,3,2,890.05,152.8,794662.4203
Carlton,1,u,VB,JellisCraig,Southern Metro,1402,8.81,Boroondara,1,1,2,533.69,240.37,648688.5029
Richmond,5,u,SP,BarryPlant,Southern Metro,9605,26.74,Boroondara,2,3,0,606.78,430.82,1286477.967
Richmond,1,t,PI,JellisCraig,Western Metro,9236,4.98,Boroondara,4,2,3,634.32,351.59,1020567.572
Clayton,5,t,SP,BarryPlant,Southern Metro,7349,10.75,Melbourne,1,1,1,675.66,379.75,1206183.44
Richmond,5,h,S,BigginScott,Southern Metro,5157,18.02,Monash,4,1,0,546,314.32,1076252.909
Burwood,1,u,S,RayWhite,Northern Metro,1867,3.98,Monash,3,1,1,116.09,252.31,599046.3947
Carlton,3,u,VB,BigginScott,Western Metro,9210,22.17,Yarra,1,1,1,401.25,391.57,955818.3043
Clayton,4,u,SP,BarryPlant,Northern Metro,1364,12.23,Boroondara,2,1,0,265.49,80.57,585567.4943
Richmond,2,t,SP,JellisCraig,Northern Metro,8467,23.75,Yarra,4,1,3,712.13,352.92,1017322.648
Burwood,5,u,S,JellisCraig,Western Metro,7571,15.29,Melbourne,5,1,2,151.03,498.74,1205684.74
Burwood,4,h,SP,BigginScott,Western Metro,1579,6.25,Yarra,4,3,0,607.42,401.09,1395208.463
Richmond,3,h,S,BarryPlant,Western Metro,8674,22.31,Boroondara,5,2,3,289.57,180.75,827393.9747
Carlton,2,t,SP,BigginScott,Southern Metro,9737,8.31,Monash,2,2,1,953.96,175.02,901137.2851
Richmond,2,t,SP,BigginScott,Western Metro,7468,15.23,Monash,3,3,0,401.99,350.25,894857.002
Clayton,5,u,SP,RayWhite,Western Metro,5150,3.19,Boroondara,5,3,2,392.7,453.13,1388395.388
Richmond,1,t,S,BigginScott,Western Metro,4039,18.92,Melbourne,3,1,2,931.05,310.08,972592.6969
Burwood,3,h,VB,RayWhite,Northern Metro,5137,20.31,Boroondara,4,1,1,475.61,287.33,912887.4784
Richmond,5,u,SP,RayWhite,Northern Metro,1452,11.98,Melbourne,2,3,0,966.58,122.17,1124733.379
Carlton,3,h,S,JellisCraig,Southern Metro,7537,28.68,Monash,5,1,2,121.75,371.96,1067486.579
Docklands,1,u,S,RayWhite,Northern Metro,2381,26.35,Melbourne,4,2,0,375.71,366.03,888777.8493
Richmond,1,t,SP,RayWhite,Southern Metro,9154,21.53,Boroondara,1,2,2,699.57,485.13,1029465.292
Carlton,5,u,SP,JellisCraig,Northern Metro,2467,21.7,Boroondara,4,1,1,901.77,185.09,1139654.66
Carlton,1,u,VB,BigginScott,Western Metro,3738,8.32,Boroondara,3,1,1,330.77,390.4,805981.3043
Burwood,4,h,S,BarryPlant,Northern Metro,8572,20.05,Melbourne,2,1,0,937.43,245.33,974812.5452
Carlton,2,h,S,BarryPlant,Southern Metro,7747,6.75,Melbourne,2,2,3,634.71,301.31,1028165.972
Carlton,5,u,PI,BarryPlant,Northern Metro,1880,5.18,Melbourne,4,1,3,820.91,417.4,1420815.225
Carlton,3,t,S,BigginScott,Western Metro,4149,29.98,Monash,1,3,1,457.49,149.9,803237.2637
Carlton,4,t,VB,RayWhite,Southern Metro,9276,19.05,Yarra,3,1,2,290.96,204.29,900092.7379
Clayton,5,h,PI,BarryPlant,Western Metro,8892,13.5,Yarra,4,3,3,920.11,397.99,1480158.483
Clayton,1,t,PI,BigginScott,Western Metro,5144,9.36,Boroondara,4,1,1,939.82,306.71,995204.5943
Burwood,1,h,PI,RayWhite,Southern Metro,2168,18.51,Monash,2,1,2,547.82,91.59,613730.0391
Richmond,1,t,SP,JellisCraig,Western Metro,4129,2.44,Melbourne,3,2,2,105.85,243.58,596300.1189
Carlton,1,u,SP,BarryPlant,Western Metro,4645,3.75,Boroondara,1,3,3,198.8,313.98,770698.1401
Richmond,3,h,S,RayWhite,Northern Metro,3526,1.95,Monash,2,3,1,615.73,459.28,1187138.503
Richmond,4,h,PI,BarryPlant,Western Metro,4516,15.48,Boroondara,4,3,2,121.4,134.82,885280.7532
Burwood,2,u,VB,BarryPlant,Western Metro,4367,18.42,Monash,2,2,2,457.22,412.68,915183.2005
Carlton,3,h,SP,BarryPlant,Western Metro,8338,2.81,Monash,2,3,0,373.03,108.78,793284.9831
Carlton,3,t,VB,RayWhite,Western Metro,4555,21.92,Yarra,5,2,0,742.91,159.01,1002282.483
Docklands,2,t,VB,BigginScott,Southern Metro,6111,7.68,Boroondara,2,1,3,150.02,159.5,574149.4998
Richmond,2,h,SP,RayWhite,Northern Metro,7752,20.87,Melbourne,2,1,0,539.86,444.87,953947.1057
Richmond,1,t,SP,BarryPlant,Western Metro,1445,29.48,Yarra,3,3,1,621.2,139.56,749545.9606
Clayton,3,h,SP,RayWhite,Western Metro,7364,21.04,Yarra,2,1,3,655.56,404.13,1025594.414
Docklands,5,u,SP,JellisCraig,Southern Metro,4626,26.61,Melbourne,1,1,3,464.64,257.81,973649.6024
Clayton,2,h,PI,BigginScott,Western Metro,5016,28.5,Monash,4,3,0,373.93,499.59,1150368.702
Clayton,2,u,PI,RayWhite,Southern Metro,4875,15.12,Melbourne,3,1,2,714.24,427.59,963152.6024
Clayton,4,t,PI,JellisCraig,Northern Metro,6497,21.37,Boroondara,2,3,1,862.81,382.87,1230234.67
Burwood,5,u,PI,BigginScott,Northern Metro,7238,25.71,Melbourne,1,3,1,724.26,441.83,1245888.25
Burwood,5,t,S,JellisCraig,Western Metro,1261,11.34,Monash,4,1,1,938.89,335.31,1214406.886
Clayton,2,h,PI,BigginScott,Western Metro,5992,8.58,Melbourne,3,1,3,745.54,429.64,1106686.969
Docklands,1,t,SP,RayWhite,Western Metro,5025,28.45,Monash,1,1,1,788.16,167.51,580519.6535
Richmond,4,h,VB,JellisCraig,Southern Metro,9283,22.06,Monash,2,1,2,251.11,93.97,741373.3148
Docklands,5,h,PI,BarryPlant,Western Metro,5222,7.37,Boroondara,5,1,2,477.59,327.17,1129017.184
Carlton,2,u,S,JellisCraig,Western Metro,5175,14.02,Melbourne,5,2,0,536.55,245.61,921687.3033
Burwood,5,u,SP,BigginScott,Northern Metro,4443,24.1,Melbourne,3,1,1,330.66,241.9,940301.6845
Richmond,4,u,VB,RayWhite,Western Metro,6011,16.86,Boroondara,1,2,3,575.69,287.04,930848.7663
Richmond,4,u,VB,BigginScott,Northern Metro,1693,19.85,Monash,4,3,0,361.71,212.62,1021387.352
Carlton,3,t,PI,JellisCraig,Western Metro,9347,22.86,Melbourne,1,1,2,718.75,331.73,862821.7727
Carlton,2,t,VB,JellisCraig,Northern Metro,2812,19.04,Boroondara,5,1,1,523.26,63.76,721873.792
Clayton,4,t,PI,BarryPlant,Western Metro,6724,16.66,Monash,3,1,2,512.93,486.45,1246366.938
Burwood,3,h,PI,RayWhite,Northern Metro,2407,22.74,Boroondara,2,3,0,985.28,466.12,1295081.659
Burwood,3,t,SP,RayWhite,Southern Metro,9032,22.1,Melbourne,1,2,2,453.2,470.87,1076524.175
Docklands,5,t,SP,JellisCraig,Northern Metro,2410,19.27,Boroondara,5,2,1,426.07,214.25,1183632.745
Clayton,5,t,S,RayWhite,Northern Metro,4497,11.43,Yarra,4,1,1,386.74,289.35,1084033.83
Clayton,3,u,SP,BarryPlant,Northern Metro,5372,12.77,Monash,3,1,0,905.27,479.36,1159639.618
Clayton,5,t,SP,BigginScott,Western Metro,8394,29.14,Yarra,2,1,1,547.05,456.06,1169727.425
Clayton,4,h,PI,RayWhite,Western Metro,1551,4.26,Yarra,1,1,2,640.01,405.61,1038244.294
Burwood,1,u,SP,JellisCraig,Western Metro,5332,8.79,Monash,4,3,2,262.74,233.3,759955.0649
Burwood,4,h,PI,BigginScott,Southern Metro,1997,15.28,Monash,2,1,3,586.85,303.95,1059215.565
Clayton,3,t,PI,BigginScott,Southern Metro,5076,25.27,Boroondara,5,3,3,347.18,406.81,1267309.141
Docklands,3,u,SP,BarryPlant,Northern Metro,7099,5.75,Monash,5,1,3,757.57,172.86,926880.8382
Richmond,4,h,S,JellisCraig,Southern Metro,6555,9.03,Yarra,4,2,2,849.28,331.9,1225367.777
Richmond,5,t,S,RayWhite,Northern Metro,5052,2.91,Yarra,5,2,2,743.33,422.57,1400969.732
Docklands,5,h,VB,JellisCraig,Northern Metro,6303,21.47,Melbourne,3,1,0,757.22,368.35,1221383.3
Clayton,3,h,VB,BigginScott,Northern Metro,9118,7.91,Monash,4,1,3,561.23,265.77,1047964.476
Burwood,2,h,SP,JellisCraig,Southern Metro,7102,12.27,Yarra,5,3,2,740.91,313.07,1187752.301
Richmond,5,t,S,RayWhite,Western Metro,6490,13.87,Melbourne,1,1,0,480.42,494.9,1113966.377
